User ID,User Age,User Gender,User Income,Starting Place,Preferred Destination,Travel Dates,Travel Duration (days),Travel Purpose,Preferred Travel Mode,Accommodation Type,Total Budget (USD),Accommodation Budget (USD),Activity Budget (USD),Number of Travelers,Preferred Airlines,Preferred Activities,Starting Destination
607,37,Male,45010,USA,Paris,2025-08-29,16,Family Visit,Plane,Hotel,2930,1173,1757,5,Delta,Sightseeing,India
608,26,Female,42143,Australia,Paris,2025-08-30,4,Family Visit,Train,Resort,6042,2518,3524,2,Emirates,Adventure Sports,India
609,58,Male,76624,UK,New York,2025-08-31,14,Leisure,Train,Hotel,3613,2087,1526,5,Emirates,Adventure Sports,India
610,47,Female,129892,Australia,Rio de Janeiro,2025-09-01,14,Family Visit,Car,Hotel,6942,3991,2951,5,Qatar,Cultural Exploration,India
611,48,Male,59361,Canada,Sydney,2025-09-02,7,Family Visit,Plane,Airbnb,5804,2761,3043,2,Emirates,Adventure Sports,India
612,59,Other,71911,USA,Rio de Janeiro,2025-09-03,8,Leisure,Car,Airbnb,5506,2124,3382,5,United,Adventure Sports,India
613,53,Male,29617,Australia,Cape Town,2025-09-04,5,Leisure,Train,Resort,3721,1516,2205,2,Qatar,Adventure Sports,India
614,19,Other,149976,Canada,Tokyo,2025-09-05,2,Leisure,Car,Hostel,4287,1695,2592,2,Emirates,Adventure Sports,India
615,59,Other,139608,India,Paris,2025-09-06,15,Leisure,Car,Hostel,7116,4069,3047,1,Emirates,Cultural Exploration,India
616,56,Male,38199,USA,Rio de Janeiro,2025-09-07,14,Family Visit,Car,Resort,1030,318,712,3,Qatar,Relaxation,India
617,18,Female,87167,Australia,Paris,2025-09-08,13,Family Visit,Plane,Hostel,5343,2530,2813,2,Qatar,Cultural Exploration,India
618,30,Female,100878,USA,Sydney,2025-09-09,12,Business,Plane,Hostel,4401,2019,2382,5,Qatar,Sightseeing,India
619,22,Male,90603,India,Paris,2025-09-10,16,Family Visit,Car,Airbnb,3812,1470,2342,1,Lufthansa,Sightseeing,India
620,36,Other,111231,Canada,New York,2025-09-11,14,Business,Plane,Hotel,6462,3201,3261,3,United,Adventure Sports,India
621,45,Male,68584,USA,Paris,2025-09-12,15,Leisure,Car,Hotel,2799,1098,1701,3,Delta,Cultural Exploration,India
622,19,Other,46787,Australia,Cape Town,2025-09-13,13,Family Visit,Bus,Hostel,614,220,394,4,United,Sightseeing,India
623,67,Male,126508,UK,New York,2025-09-14,1,Leisure,Car,Airbnb,2376,1330,1046,5,Delta,Cultural Exploration,India
624,32,Male,86954,India,Paris,2025-09-15,15,Leisure,Bus,Hostel,9620,4721,4899,3,Lufthansa,Adventure Sports,India
625,25,Male,129846,Australia,New York,2025-09-16,18,Leisure,Train,Airbnb,8113,3169,4944,5,Emirates,Sightseeing,India
626,62,Male,127257,Australia,Tokyo,2025-09-17,4,Family Visit,Bus,Resort,8650,4944,3706,5,Emirates,Sightseeing,India
627,55,Female,57532,USA,Paris,2025-09-18,2,Leisure,Plane,Resort,9180,5481,3699,1,Delta,Adventure Sports,India
628,21,Female,131442,Canada,Tokyo,2025-09-19,15,Business,Plane,Airbnb,601,297,304,5,Delta,Cultural Exploration,India
629,55,Female,74169,Canada,Sydney,2025-09-20,8,Business,Bus,Resort,6271,2167,4104,1,Emirates,Adventure Sports,India
630,41,Male,47219,Canada,Sydney,2025-09-21,12,Leisure,Bus,Hostel,9581,3790,5791,3,Qatar,Adventure Sports,India
631,41,Male,46468,India,New York,2025-09-22,12,Business,Car,Airbnb,7939,3097,4842,2,Emirates,Sightseeing,India
632,18,Female,131235,Canada,Sydney,2025-09-23,4,Leisure,Train,Airbnb,8223,4625,3598,4,Lufthansa,Cultural Exploration,India
633,19,Male,61326,India,Cape Town,2025-09-24,10,Family Visit,Plane,Hotel,8822,2654,6168,1,Emirates,Cultural Exploration,India
634,64,Female,127800,Australia,Tokyo,2025-09-25,10,Family Visit,Bus,Hotel,5424,2208,3216,3,Delta,Adventure Sports,India
635,21,Other,56747,Canada,Sydney,2025-09-26,18,Leisure,Plane,Resort,4623,2329,2294,4,Emirates,Sightseeing,India
636,58,Other,112770,UK,Rio de Janeiro,2025-09-27,15,Business,Bus,Airbnb,8056,3644,4412,4,Qatar,Relaxation,India
637,21,Male,107728,Australia,Rio de Janeiro,2025-09-28,8,Family Visit,Plane,Resort,1754,928,826,4,Lufthansa,Adventure Sports,India
638,35,Female,30106,Australia,Tokyo,2025-09-29,19,Family Visit,Bus,Hotel,4419,2031,2388,3,Emirates,Sightseeing,India
639,36,Other,112574,USA,Rio de Janeiro,2025-09-30,5,Family Visit,Car,Hotel,2330,1320,1010,4,United,Adventure Sports,India
640,43,Other,37842,Australia,Tokyo,2025-10-01,4,Family Visit,Bus,Hotel,7036,3146,3890,5,Emirates,Relaxation,India
641,34,Male,37038,USA,Tokyo,2025-10-02,12,Leisure,Car,Resort,2250,687,1563,3,Delta,Cultural Exploration,India
642,52,Other,121147,Canada,Rio de Janeiro,2025-10-03,5,Family Visit,Bus,Resort,7587,2676,4911,4,Delta,Relaxation,India
643,23,Male,113531,Australia,Sydney,2025-10-04,2,Business,Bus,Hostel,1079,442,637,5,Emirates,Sightseeing,India
644,65,Male,25085,USA,Paris,2025-10-05,19,Leisure,Train,Airbnb,7932,2454,5478,1,United,Sightseeing,India
645,57,Male,43050,Australia,Rio de Janeiro,2025-10-06,5,Business,Bus,Airbnb,9152,4943,4209,1,United,Sightseeing,India
646,34,Female,67286,UK,Sydney,2025-10-07,12,Leisure,Plane,Resort,2562,1089,1473,3,Lufthansa,Sightseeing,India
647,42,Female,103758,Australia,Paris,2025-10-08,17,Family Visit,Plane,Resort,8463,2846,5617,1,Lufthansa,Relaxation,India
648,58,Male,82373,UK,Tokyo,2025-10-09,10,Family Visit,Bus,Resort,840,318,522,1,Emirates,Sightseeing,India
649,39,Female,78315,USA,Tokyo,2025-10-10,6,Leisure,Car,Resort,9364,5429,3935,1,United,Cultural Exploration,India
650,69,Male,44588,UK,Paris,2025-10-11,17,Leisure,Plane,Hotel,5784,2745,3039,2,Emirates,Adventure Sports,India
651,38,Other,84844,Canada,New York,2025-10-12,8,Leisure,Train,Resort,805,275,530,2,Emirates,Adventure Sports,India
652,32,Male,63845,India,New York,2025-10-13,14,Family Visit,Train,Airbnb,9166,4420,4746,1,Delta,Relaxation,India
653,20,Other,118315,UK,Paris,2025-10-14,11,Family Visit,Bus,Airbnb,9945,5856,4089,5,Lufthansa,Adventure Sports,India
654,65,Other,108450,USA,Rio de Janeiro,2025-10-15,6,Family Visit,Car,Airbnb,2266,1059,1207,4,Lufthansa,Cultural Exploration,India
655,26,Male,77250,Canada,Tokyo,2025-10-16,4,Business,Car,Hostel,5878,2256,3622,4,Qatar,Cultural Exploration,India
656,56,Male,23142,India,New York,2025-10-17,12,Family Visit,Bus,Hotel,3556,1138,2418,4,United,Sightseeing,India
657,43,Male,104742,Australia,Sydney,2025-10-18,4,Family Visit,Car,Hotel,947,557,390,5,Delta,Cultural Exploration,India
658,25,Other,34442,India,Sydney,2025-10-19,14,Business,Car,Hostel,9083,4654,4429,4,Delta,Adventure Sports,India
659,69,Other,38092,India,New York,2025-10-20,17,Family Visit,Plane,Airbnb,9286,4743,4543,4,Qatar,Sightseeing,India
660,61,Male,126155,India,Sydney,2025-10-21,12,Business,Plane,Hostel,6783,2589,4194,3,Qatar,Sightseeing,India
661,29,Female,41513,Canada,Tokyo,2025-10-22,15,Leisure,Bus,Airbnb,8027,4731,3296,5,Lufthansa,Relaxation,India
662,68,Female,114527,UK,Paris,2025-10-23,15,Family Visit,Plane,Resort,6902,2181,4721,5,United,Relaxation,India
663,48,Other,85912,India,Paris,2025-10-24,13,Business,Plane,Airbnb,6274,2038,4236,4,United,Sightseeing,India
664,23,Other,80760,India,Cape Town,2025-10-25,1,Family Visit,Plane,Hostel,9163,4509,4654,5,Emirates,Cultural Exploration,India
665,57,Female,110280,USA,Tokyo,2025-10-26,5,Business,Car,Hostel,6016,2284,3732,4,Emirates,Adventure Sports,India
666,40,Male,107343,USA,Tokyo,2025-10-27,9,Leisure,Bus,Hotel,6182,3381,2801,2,Lufthansa,Relaxation,India
667,44,Other,61202,UK,Paris,2025-10-28,8,Business,Car,Hotel,1693,789,904,1,United,Adventure Sports,India
668,39,Female,115359,India,Cape Town,2025-10-29,8,Leisure,Plane,Airbnb,4136,1336,2800,4,Qatar,Cultural Exploration,India
669,45,Female,144109,Canada,Sydney,2025-10-30,18,Leisure,Bus,Hotel,2116,648,1468,5,United,Relaxation,India
670,46,Female,143751,USA,Cape Town,2025-10-31,18,Family Visit,Bus,Hostel,6952,3730,3222,5,Lufthansa,Sightseeing,India
671,50,Female,118739,Canada,New York,2025-11-01,17,Business,Bus,Hotel,594,345,249,5,Qatar,Relaxation,India
672,52,Female,48211,Canada,Paris,2025-11-02,5,Family Visit,Train,Hostel,8037,4808,3229,2,United,Cultural Exploration,India
673,39,Male,114828,Canada,Rio de Janeiro,2025-11-03,11,Family Visit,Car,Hostel,6448,2046,4402,3,United,Adventure Sports,India
674,67,Male,94775,Australia,Tokyo,2025-11-04,11,Family Visit,Bus,Hotel,7061,3750,3311,4,Emirates,Relaxation,India
675,21,Female,99691,India,Cape Town,2025-11-05,10,Business,Plane,Hotel,5114,2316,2798,4,Delta,Relaxation,India
676,41,Male,26182,USA,New York,2025-11-06,9,Leisure,Train,Hostel,2098,1139,959,4,United,Sightseeing,India
677,31,Other,40251,Australia,Cape Town,2025-11-07,1,Business,Bus,Hotel,1322,562,760,3,Emirates,Cultural Exploration,India
678,50,Female,39423,UK,Rio de Janeiro,2025-11-08,9,Business,Bus,Hostel,7578,3028,4550,3,United,Relaxation,India
679,68,Female,124988,Canada,Paris,2025-11-09,15,Family Visit,Bus,Airbnb,7683,2665,5018,1,Qatar,Relaxation,India
680,32,Male,135961,India,New York,2025-11-10,2,Business,Bus,Hotel,8743,3814,4929,1,Lufthansa,Cultural Exploration,India
681,65,Female,130574,USA,Rio de Janeiro,2025-11-11,16,Family Visit,Plane,Airbnb,6259,2696,3563,3,United,Sightseeing,India
682,19,Female,128199,Australia,Cape Town,2025-11-12,4,Leisure,Bus,Airbnb,7218,2668,4550,4,Lufthansa,Relaxation,India
683,24,Male,58862,UK,Cape Town,2025-11-13,18,Business,Plane,Resort,6528,3567,2961,2,Lufthansa,Relaxation,India
684,53,Male,131628,Canada,Rio de Janeiro,2025-11-14,10,Leisure,Plane,Resort,9717,5448,4269,1,Delta,Relaxation,India
685,25,Male,76841,USA,Tokyo,2025-11-15,2,Business,Plane,Resort,4246,1579,2667,1,Lufthansa,Cultural Exploration,India
686,50,Male,147285,UK,New York,2025-11-16,9,Family Visit,Plane,Resort,8870,3319,5551,4,Lufthansa,Sightseeing,India
687,38,Female,135580,Canada,Sydney,2025-11-17,14,Family Visit,Plane,Airbnb,765,297,468,1,Delta,Sightseeing,India
688,67,Male,124162,USA,Tokyo,2025-11-18,11,Leisure,Car,Resort,3318,1762,1556,5,Emirates,Adventure Sports,India
689,64,Male,76333,UK,Paris,2025-11-19,19,Family Visit,Plane,Airbnb,787,283,504,3,Lufthansa,Relaxation,India
690,66,Male,125821,Australia,Cape Town,2025-11-20,18,Family Visit,Train,Hotel,5970,2543,3427,2,Emirates,Relaxation,India
691,40,Other,118631,Canada,New York,2025-11-21,7,Business,Train,Airbnb,8242,4286,3956,1,Emirates,Adventure Sports,India
692,22,Male,133681,Australia,Paris,2025-11-22,18,Leisure,Bus,Airbnb,5247,2523,2724,5,Qatar,Adventure Sports,India
693,58,Male,24268,Australia,Sydney,2025-11-23,1,Family Visit,Plane,Resort,5873,2843,3030,1,United,Adventure Sports,India
694,26,Other,146431,Australia,Sydney,2025-11-24,3,Leisure,Bus,Airbnb,2499,1099,1400,4,Qatar,Relaxation,India
695,42,Female,20174,Australia,New York,2025-11-25,12,Leisure,Car,Airbnb,5969,2698,3271,5,United,Relaxation,India
696,63,Other,148482,USA,Sydney,2025-11-26,14,Family Visit,Train,Airbnb,2831,852,1979,4,United,Adventure Sports,India
697,67,Other,146420,India,Rio de Janeiro,2025-11-27,20,Leisure,Train,Airbnb,6868,2979,3889,2,Qatar,Sightseeing,India
698,61,Other,133729,India,Rio de Janeiro,2025-11-28,17,Business,Plane,Hotel,746,241,505,3,Emirates,Relaxation,India
699,69,Male,115859,USA,Rio de Janeiro,2025-11-29,5,Business,Car,Resort,6351,3596,2755,1,Qatar,Cultural Exploration,India
700,61,Male,90140,India,Sydney,2025-11-30,14,Family Visit,Car,Airbnb,2932,1504,1428,2,Emirates,Sightseeing,India
701,27,Other,107237,Australia,New York,2025-12-01,8,Family Visit,Train,Hotel,9741,5478,4263,4,Emirates,Relaxation,India
702,68,Female,80469,Australia,Rio de Janeiro,2025-12-02,19,Business,Train,Hotel,6810,2748,4062,2,Delta,Cultural Exploration,India
703,23,Female,59836,Canada,Tokyo,2025-12-03,2,Leisure,Car,Resort,3122,1870,1252,2,Qatar,Sightseeing,India
704,51,Other,69253,Canada,Tokyo,2025-12-04,18,Family Visit,Train,Airbnb,1491,869,622,4,Emirates,Cultural Exploration,India
705,39,Other,74933,USA,New York,2025-12-05,3,Business,Train,Hotel,7287,3801,3486,3,Emirates,Cultural Exploration,India
706,65,Other,80463,Australia,New York,2025-12-06,6,Family Visit,Car,Airbnb,6918,3340,3578,5,Lufthansa,Adventure Sports,India
707,67,Female,55558,Canada,Cape Town,2025-12-07,14,Business,Train,Hotel,1211,545,666,3,Delta,Cultural Exploration,India
708,38,Other,51117,USA,Cape Town,2025-12-08,18,Family Visit,Plane,Hostel,5232,2464,2768,1,Qatar,Relaxation,India
709,24,Other,134639,India,Tokyo,2025-12-09,8,Business,Train,Hotel,6002,3505,2497,5,United,Adventure Sports,India
710,21,Other,98226,Canada,Cape Town,2025-12-10,9,Leisure,Car,Hostel,1619,882,737,2,Qatar,Sightseeing,India
711,30,Other,27127,UK,Cape Town,2025-12-11,6,Leisure,Plane,Hotel,8106,2463,5643,2,Lufthansa,Adventure Sports,India
712,59,Female,140015,India,Paris,2025-12-12,9,Family Visit,Bus,Airbnb,3080,1708,1372,5,Delta,Adventure Sports,India
713,39,Female,108254,UK,Sydney,2025-12-13,15,Leisure,Train,Hostel,3043,1330,1713,2,Emirates,Relaxation,India
714,27,Other,115270,UK,Rio de Janeiro,2025-12-14,13,Business,Bus,Hotel,8360,4507,3853,4,Emirates,Relaxation,India
715,52,Female,142963,India,Rio de Janeiro,2025-12-15,4,Leisure,Plane,Airbnb,8404,4617,3787,3,Emirates,Cultural Exploration,India
716,20,Other,58298,USA,Sydney,2025-12-16,8,Business,Plane,Resort,7171,3609,3562,3,Lufthansa,Sightseeing,India
717,24,Other,47658,India,Tokyo,2025-12-17,11,Leisure,Bus,Airbnb,3031,1359,1672,3,Qatar,Sightseeing,India
718,33,Other,31818,Australia,Paris,2025-12-18,16,Business,Car,Hostel,1649,977,672,3,United,Relaxation,India
719,44,Male,85997,Canada,Paris,2025-12-19,6,Leisure,Bus,Resort,6479,3719,2760,3,Emirates,Sightseeing,India
720,66,Male,25968,Australia,Rio de Janeiro,2025-12-20,16,Leisure,Bus,Airbnb,1931,890,1041,1,United,Adventure Sports,India
721,62,Male,136139,USA,Sydney,2025-12-21,12,Family Visit,Train,Hotel,6361,3618,2743,2,Lufthansa,Adventure Sports,India
722,36,Female,39963,USA,Tokyo,2025-12-22,9,Leisure,Train,Hotel,6013,3045,2968,4,Emirates,Cultural Exploration,India
723,45,Female,118550,India,Rio de Janeiro,2025-12-23,13,Leisure,Car,Hostel,5860,2606,3254,1,Emirates,Cultural Exploration,India
724,34,Male,55041,Australia,Rio de Janeiro,2025-12-24,15,Family Visit,Car,Hostel,5728,2398,3330,1,Lufthansa,Sightseeing,India
725,39,Female,56410,UK,Paris,2025-12-25,14,Family Visit,Plane,Hotel,3270,1225,2045,2,Lufthansa,Cultural Exploration,India
726,43,Male,69883,Australia,Rio de Janeiro,2025-12-26,19,Business,Plane,Resort,5116,2717,2399,1,United,Sightseeing,India
727,66,Female,120024,India,Cape Town,2025-12-27,16,Leisure,Bus,Resort,9654,4667,4987,2,Qatar,Relaxation,India
728,42,Male,49666,India,Cape Town,2025-12-28,12,Leisure,Car,Hostel,1824,655,1169,2,Lufthansa,Sightseeing,India
729,46,Female,41633,UK,Paris,2025-12-29,11,Family Visit,Bus,Airbnb,1232,466,766,1,Delta,Sightseeing,India
730,56,Female,44833,India,Paris,2025-12-30,7,Business,Plane,Hotel,2053,1069,984,3,Delta,Sightseeing,India
731,20,Female,145853,USA,New York,2025-12-31,5,Family Visit,Bus,Hotel,1401,674,727,4,Lufthansa,Adventure Sports,India
732,29,Other,58787,India,New York,2026-01-01,16,Business,Plane,Hotel,1266,659,607,2,Qatar,Sightseeing,India
733,57,Male,28157,India,Tokyo,2026-01-02,10,Business,Train,Airbnb,3812,2259,1553,1,Emirates,Relaxation,India
734,46,Other,66501,Australia,Cape Town,2026-01-03,18,Leisure,Car,Resort,2124,1025,1099,2,Qatar,Sightseeing,India
735,47,Other,24380,Canada,New York,2026-01-04,6,Leisure,Bus,Hotel,4307,1698,2609,3,United,Sightseeing,India
736,42,Male,104665,USA,Cape Town,2026-01-05,13,Family Visit,Train,Hotel,1379,598,781,3,Qatar,Cultural Exploration,India
737,64,Other,39559,Canada,Cape Town,2026-01-06,13,Leisure,Train,Airbnb,9248,3116,6132,4,Qatar,Cultural Exploration,India
738,29,Other,125343,USA,New York,2026-01-07,14,Leisure,Plane,Airbnb,855,500,355,1,Qatar,Sightseeing,India
739,21,Female,39104,UK,Sydney,2026-01-08,20,Business,Train,Airbnb,958,355,603,2,Qatar,Cultural Exploration,India
740,46,Other,69477,UK,Sydney,2026-01-09,16,Business,Plane,Hostel,1160,669,491,5,Emirates,Relaxation,India
741,37,Other,61398,India,Rio de Janeiro,2026-01-10,10,Business,Car,Hostel,4465,1665,2800,4,Emirates,Cultural Exploration,India
742,61,Other,94008,Canada,New York,2026-01-11,15,Leisure,Train,Hotel,880,390,490,1,Delta,Cultural Exploration,India
743,22,Female,32896,UK,New York,2026-01-12,15,Business,Plane,Resort,6449,3159,3290,5,Qatar,Relaxation,India
744,18,Female,21299,USA,Rio de Janeiro,2026-01-13,11,Leisure,Bus,Airbnb,7840,3663,4177,3,United,Cultural Exploration,India
745,33,Female,97606,Australia,Paris,2026-01-14,5,Family Visit,Train,Airbnb,9315,4567,4748,2,Lufthansa,Relaxation,India
746,48,Female,117583,Canada,Sydney,2026-01-15,7,Leisure,Car,Resort,1121,409,712,4,Emirates,Cultural Exploration,India
747,53,Male,77642,UK,Cape Town,2026-01-16,2,Business,Bus,Resort,6174,3511,2663,4,Qatar,Relaxation,India
748,56,Other,100568,Australia,Cape Town,2026-01-17,18,Leisure,Train,Hotel,4984,1640,3344,5,United,Cultural Exploration,India
749,39,Other,57509,UK,Sydney,2026-01-18,12,Business,Train,Airbnb,7759,4549,3210,1,Emirates,Sightseeing,India
750,38,Male,27838,India,Paris,2026-01-19,1,Leisure,Plane,Hostel,3950,1952,1998,4,Lufthansa,Adventure Sports,India
751,63,Other,126667,Canada,Tokyo,2026-01-20,9,Family Visit,Train,Hostel,7479,2459,5020,1,Emirates,Cultural Exploration,India
752,48,Male,86170,UK,New York,2026-01-21,15,Family Visit,Car,Airbnb,9904,3303,6601,5,Qatar,Adventure Sports,India
753,48,Female,101967,Canada,New York,2026-01-22,7,Leisure,Plane,Hostel,6318,3618,2700,5,Lufthansa,Adventure Sports,India
754,52,Male,52525,India,Tokyo,2026-01-23,20,Family Visit,Plane,Airbnb,4547,2160,2387,2,United,Cultural Exploration,India
755,23,Female,62363,UK,Cape Town,2026-01-24,5,Leisure,Train,Hotel,3304,1315,1989,1,Qatar,Sightseeing,India
756,37,Male,116963,Canada,Tokyo,2026-01-25,20,Leisure,Plane,Airbnb,8430,3570,4860,2,Lufthansa,Adventure Sports,India
757,44,Other,122534,Australia,Rio de Janeiro,2026-01-26,4,Leisure,Car,Hostel,2120,1057,1063,3,United,Adventure Sports,India
758,44,Other,72809,UK,Paris,2026-01-27,8,Business,Bus,Hotel,1823,700,1123,5,Delta,Cultural Exploration,India
759,30,Other,68634,USA,Sydney,2026-01-28,9,Business,Bus,Airbnb,2063,1134,929,2,Lufthansa,Relaxation,India
760,64,Male,44242,UK,Cape Town,2026-01-29,14,Leisure,Plane,Hostel,3452,1284,2168,3,Qatar,Cultural Exploration,India
761,40,Male,140413,USA,Paris,2026-01-30,17,Leisure,Bus,Hostel,6207,2227,3980,2,Delta,Relaxation,India
762,41,Other,98265,Australia,Sydney,2026-01-31,17,Leisure,Train,Hostel,8401,2605,5796,3,United,Sightseeing,India
763,18,Male,99709,Canada,Tokyo,2026-02-01,4,Leisure,Bus,Resort,9418,5642,3776,1,Delta,Relaxation,India
764,45,Male,72435,UK,New York,2026-02-02,20,Family Visit,Car,Hostel,7945,3345,4600,5,Emirates,Sightseeing,India
765,20,Male,118738,Canada,Rio de Janeiro,2026-02-03,3,Family Visit,Train,Resort,6485,2999,3486,4,Delta,Sightseeing,India
766,53,Other,120256,USA,Rio de Janeiro,2026-02-04,15,Leisure,Train,Hostel,1034,406,628,5,Lufthansa,Cultural Exploration,India
767,45,Female,93240,India,Sydney,2026-02-05,15,Family Visit,Plane,Hostel,8800,4555,4245,5,Emirates,Adventure Sports,India
768,28,Female,115314,UK,Rio de Janeiro,2026-02-06,14,Business,Train,Hostel,6784,2679,4105,2,United,Cultural Exploration,India
769,68,Other,98580,Canada,New York,2026-02-07,9,Leisure,Bus,Hostel,3736,1259,2477,3,Emirates,Cultural Exploration,India
770,52,Other,84632,UK,Sydney,2026-02-08,17,Business,Plane,Airbnb,7917,4358,3559,1,Emirates,Adventure Sports,India
771,52,Male,97789,UK,New York,2026-02-09,13,Leisure,Bus,Resort,7312,3304,4008,2,Delta,Sightseeing,India
772,57,Female,43701,UK,Paris,2026-02-10,5,Family Visit,Car,Airbnb,2104,1062,1042,2,Lufthansa,Relaxation,India
773,65,Male,121460,USA,Paris,2026-02-11,9,Family Visit,Train,Resort,7479,3844,3635,1,United,Sightseeing,India
774,45,Male,91668,Canada,Paris,2026-02-12,1,Family Visit,Car,Hostel,7806,2469,5337,5,Qatar,Cultural Exploration,India
775,56,Other,65546,Australia,Rio de Janeiro,2026-02-13,6,Family Visit,Car,Resort,3909,1645,2264,2,Delta,Sightseeing,India
776,49,Male,73572,Australia,New York,2026-02-14,8,Business,Car,Hotel,4785,2802,1983,1,Delta,Sightseeing,India
777,58,Female,97738,India,Rio de Janeiro,2026-02-15,14,Business,Car,Hostel,6948,2651,4297,3,Delta,Sightseeing,India
778,34,Male,82852,USA,Tokyo,2026-02-16,17,Leisure,Plane,Hostel,6878,3704,3174,2,United,Cultural Exploration,India
779,48,Male,107883,Canada,Cape Town,2026-02-17,10,Business,Train,Resort,2046,1222,824,1,Emirates,Adventure Sports,India
780,59,Other,139436,India,Rio de Janeiro,2026-02-18,20,Business,Train,Hotel,6746,2872,3874,5,Qatar,Sightseeing,India
781,40,Male,61442,Australia,Sydney,2026-02-19,12,Family Visit,Car,Resort,9539,3711,5828,5,Qatar,Cultural Exploration,India
782,22,Other,42839,UK,Sydney,2026-02-20,20,Leisure,Car,Airbnb,4417,1876,2541,2,Lufthansa,Adventure Sports,India
783,38,Other,61925,USA,Sydney,2026-02-21,9,Family Visit,Bus,Hotel,5574,1756,3818,2,Lufthansa,Relaxation,India
784,40,Female,137186,Australia,Cape Town,2026-02-22,20,Leisure,Train,Airbnb,6295,3005,3290,5,Lufthansa,Sightseeing,India
785,59,Other,37991,India,Paris,2026-02-23,18,Family Visit,Plane,Hotel,8247,3677,4570,2,Qatar,Relaxation,India
786,55,Other,102188,Australia,New York,2026-02-24,4,Business,Car,Hotel,7694,4508,3186,1,United,Adventure Sports,India
787,65,Male,36804,Canada,Sydney,2026-02-25,12,Leisure,Train,Airbnb,4225,2428,1797,1,Emirates,Adventure Sports,India
788,45,Female,109732,India,Cape Town,2026-02-26,10,Business,Bus,Hotel,3836,1706,2130,4,Qatar,Sightseeing,India
789,59,Other,78720,USA,Rio de Janeiro,2026-02-27,6,Business,Bus,Resort,7960,2603,5357,5,Emirates,Relaxation,India
790,60,Male,24359,USA,Rio de Janeiro,2026-02-28,14,Family Visit,Train,Airbnb,5837,2667,3170,4,United,Relaxation,India
791,62,Other,62199,India,Cape Town,2026-03-01,8,Family Visit,Car,Airbnb,1512,590,922,2,Emirates,Relaxation,India
792,67,Other,131142,USA,Paris,2026-03-02,3,Business,Car,Hostel,7158,3578,3580,5,Qatar,Adventure Sports,India
793,55,Female,115813,Canada,Cape Town,2026-03-03,19,Leisure,Bus,Hotel,563,254,309,2,Qatar,Cultural Exploration,India
794,35,Male,96496,Canada,Paris,2026-03-04,7,Leisure,Train,Hotel,1635,571,1064,1,Emirates,Adventure Sports,India
795,34,Male,33438,Canada,Tokyo,2026-03-05,5,Leisure,Bus,Hotel,1224,430,794,5,Qatar,Cultural Exploration,India
796,31,Female,139877,Australia,Sydney,2026-03-06,11,Leisure,Train,Airbnb,2600,1026,1574,2,Qatar,Relaxation,India
797,51,Other,123309,USA,Sydney,2026-03-07,5,Business,Train,Airbnb,6308,2537,3771,5,United,Sightseeing,India
798,58,Other,53996,USA,New York,2026-03-08,17,Business,Car,Hostel,3988,1572,2416,1,Delta,Adventure Sports,India
799,61,Female,83566,Australia,Rio de Janeiro,2026-03-09,4,Leisure,Train,Hotel,1450,774,676,5,Qatar,Adventure Sports,India
800,40,Other,21498,USA,Paris,2026-03-10,1,Business,Car,Hostel,4493,2624,1869,5,Delta,Cultural Exploration,India
801,48,Male,130231,India,Cape Town,2026-03-11,3,Business,Train,Hotel,1992,1153,839,3,Qatar,Sightseeing,India
802,27,Male,123361,Canada,Cape Town,2026-03-12,9,Leisure,Plane,Airbnb,9701,5537,4164,3,United,Sightseeing,India
803,27,Other,142613,Australia,Tokyo,2026-03-13,4,Leisure,Car,Hotel,9526,4833,4693,5,United,Adventure Sports,India
804,43,Other,125027,Australia,Paris,2026-03-14,17,Family Visit,Train,Airbnb,996,496,500,5,Delta,Cultural Exploration,India
805,61,Male,56121,Australia,New York,2026-03-15,7,Leisure,Train,Hotel,2439,1372,1067,4,Emirates,Relaxation,India
806,51,Male,109730,UK,Rio de Janeiro,2026-03-16,13,Business,Train,Hotel,7588,4276,3312,1,Lufthansa,Sightseeing,India
807,59,Other,115083,Australia,Paris,2026-03-17,5,Business,Bus,Resort,2551,1435,1116,3,Delta,Cultural Exploration,India
808,33,Other,30010,USA,Tokyo,2026-03-18,4,Leisure,Train,Hostel,6696,3747,2949,2,Qatar,Cultural Exploration,India
809,18,Male,33967,India,Rio de Janeiro,2026-03-19,14,Leisure,Car,Hotel,8614,2916,5698,3,Delta,Relaxation,India
810,29,Male,113707,UK,Rio de Janeiro,2026-03-20,13,Family Visit,Plane,Resort,5667,2586,3081,1,United,Cultural Exploration,India
811,58,Female,129085,Australia,Rio de Janeiro,2026-03-21,19,Leisure,Bus,Hotel,5682,3011,2671,3,Lufthansa,Cultural Exploration,India
812,65,Other,130644,USA,Tokyo,2026-03-22,17,Business,Bus,Hotel,7297,4091,3206,4,Lufthansa,Cultural Exploration,India
813,40,Male,118247,USA,Tokyo,2026-03-23,11,Leisure,Car,Resort,8517,4562,3955,2,Emirates,Relaxation,India
814,66,Male,40402,India,Paris,2026-03-24,2,Business,Plane,Airbnb,5288,2843,2445,1,United,Adventure Sports,India
815,38,Female,140674,Australia,Tokyo,2026-03-25,18,Leisure,Plane,Hostel,6558,2508,4050,2,Qatar,Adventure Sports,India
